Leaf#,Depth,DF#,B-L,M,S,LB - L,M,S,LL - L,M,S,RB - L,M,S,RL- L,M,S
20,11,0,62,47,77,0,0,0,0,16,0,31,31,32,63,78,63
40,11,1,76,79,140,31,62,0,31,16,47,173,94,107,236,296,269
60,11,0,217,235,220,48,48,31,95,92,124,185,264,282,579,533,530
80,11,4,296,265,279,172,93,94,109,140,142,325,406,344,785,831,876
100,11,0,529,394,502,187,140,158,156,122,107,372,568,483,1100,1183,1203
120,11,0,514,715,467,253,233,238,139,204,330,796,704,849,1470,1535,1522
140,11,2,604,918,573,344,252,408,204,141,282,812,991,896,1956,1854,2044
160,11,1,810,1028,1001,440,327,324,344,392,502,1046,1279,1203,2734,2660,2656
180,11,1,1018,1147,1258,453,404,468,598,582,372,1151,1306,1719,2967,2935,2853
200,11,4,1057,1161,1368,487,596,532,652,689,498,1204,1474,1738,3103,3111,3020
220,11,1,1250,1396,1494,545,574,638,640,594,562,1369,1748,1771,3240,3189,3335
240,11,11,1297,1552,1596,892,635,769,984,974,915,1484,1841,1782,3325,3424,3469
260,11,1,1722,2208,2206,964,654,847,922,956,816,1891,2411,2393,4422,4599,4491
280,11,1,1786,2099,2263,937,1177,910,938,812,950,1953,2510,2631,4618,4557,4605
300,11,0,2122,2516,2769,1101,1394,1125,1216,1239,1205,2392,2988,3074,6345,6308,6525
320,11,13,2251,2648,2792,1244,1484,1322,1650,1358,1497,2274,3220,3214,5782,5623,5766
340,11,2,2259,2925,2990,1456,1350,1451,1421,1520,1267,2476,3409,3619,6105,6113,6188
360,11,3,2877,3634,3709,1518,1426,1408,1579,1794,1750,3068,3856,4034,7036,7111,7163
380,11,11,2819,3744,3853,2024,1881,1905,2391,2036,1909,3132,4103,4435,8091,8052,7803
400,11,2,2876,3668,4107,1900,1861,1712,1667,2004,2058,3570,4341,4545,7550,7760,7561
420,11,4,3426,4392,4452,2331,2339,2120,2246,2027,2265,3714,5255,5206,8857,8821,9013
440,11,5,3425,4783,5069,2295,2250,2253,2431,2153,2124,3684,5406,5694,9555,9365,9240
460,11,2,4071,5121,5171,2420,2404,2673,2375,2639,2235,4680,5993,5922,10267,10032,10656
480,11,3,3802,4851,5352,2511,2487,2317,2392,2507,2553,4344,5672,5825,9480,9550,9305
500,11,10,4252,6069,6123,3122,2846,2844,3229,2888,3144,4788,6823,6774,11292,10927,11127
520,11,23,4488,5614,5520,2992,2738,3161,3454,3238,3262,5191,6390,6095,9468,9423,9983
540,11,10,4495,6065,6074,3411,3024,3264,3283,3642,3286,4906,6385,6940,11007,10852,10558
560,11,15,5836,6883,7230,3406,3602,3626,4457,4294,4477,5997,8004,8104,12286,12956,12962
580,11,9,5413,7219,7091,3459,3298,3673,4049,3954,4088,5885,8083,7909,12237,12043,12447
600,11,3,5763,8012,8295,4115,3647,3648,3792,4038,4064,6504,8961,9307,14337,14380,14300
620,11,19,5549,7215,7517,4202,3972,4322,5159,4692,4303,6105,8405,8941,12824,12936,12812
640,11,16,5937,7889,7986,4412,4234,4406,5198,4875,4803,6306,9023,9160,13116,12746,13186
660,11,30,6141,7968,8188,4620,4632,4889,6510,5283,5173,6580,9071,8999,13064,13133,13347
680,11,7,6773,8949,9413,5087,4855,4901,5137,5338,5268,7330,10402,10914,15873,16101,15659
700,11,6,7522,9666,10360,5258,5386,4876,5296,5210,5815,7818,11295,11203,17179,16832,17661
720,11,7,7671,10336,10245,5438,5124,5931,6090,6005,5135,8195,11306,11867,18113,18219,18050
740,11,24,7533,9433,9372,6047,5707,5967,7620,6710,6336,8083,10587,11179,15833,16227,15882
760,11,16,9070,11526,12236,6568,6436,6605,6937,6608,6811,9777,13559,13581,20455,20463,20556
780,11,11,8831,11144,11955,6526,6621,6186,6696,6407,6707,9489,13361,13546,19393,18875,19509
800,11,33,8884,11474,11907,7386,6981,7347,8667,7635,7424,9642,13518,13901,19517,19149,18918
